Position,Track Name,Artist,Streams,URL,Date,Region
1,Reggaetón Lento (Bailemos),CNCO,19272,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,1/1/2017,ec
2,Chantaje,Shakira,19270,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,1/1/2017,ec
3,Otra Vez (feat. J Balvin),Zion & Lennox,15761,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,1/1/2017,ec
4,Vente Pa' Ca,Ricky Martin,14954,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,1/1/2017,ec
5,Safari,J Balvin,14269,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,1/1/2017,ec
6,La Bicicleta,Carlos Vives,12843,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,1/1/2017,ec
7,Ay Mi Dios,IAmChino,10986,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,1/1/2017,ec
8,Andas En Mi Cabeza,Chino & Nacho,10653,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF,1/1/2017,ec
9,Traicionera,Sebastian Yatra,9807,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,1/1/2017,ec
10,Shaky Shaky,Daddy Yankee,9612,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf,1/1/2017,ec
11,Vacaciones,Wisin,9611,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,1/1/2017,ec
12,Dile Que Tu Me Quieres,Ozuna,8982,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o,1/1/2017,ec
13,Let Me Love You,DJ Snake,8834,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,1/1/2017,ec
14,DUELE EL CORAZON,Enrique Iglesias,8309,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf,1/1/2017,ec
15,Chillax,Farruko,7822,https://open.spotify.com/track/1lxswgIpzV6HhENRvkflES,1/1/2017,ec
16,Borro Cassette,Maluma,7586,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN,1/1/2017,ec
17,One Dance,Drake,7472,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,1/1/2017,ec
18,Closer,The Chainsmokers,7416,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,1/1/2017,ec
19,Starboy,The Weeknd,7006,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,1/1/2017,ec
20,Desde Esa Noche,Thalía,6779,https://open.spotify.com/track/1pWYnQIlqxTh5bxuPmTG4E,1/1/2017,ec
21,Don't Wanna Know,Maroon 5,6582,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,1/1/2017,ec
22,La Gozadera,Gente De Zona,6521,https://open.spotify.com/track/0OMRAvrtLWE2TvcXorRiB9,1/1/2017,ec
23,24K Magic,Bruno Mars,6261,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,1/1/2017,ec
24,Me Llamas (feat. Maluma) - Remix,Piso 21,6237,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX,1/1/2017,ec
25,Cuatro Babys,Maluma,6028,https://open.spotify.com/track/0JoHqmlqE0W0i9prt6kcHR,1/1/2017,ec
26,My Way,Calvin Harris,5723,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,1/1/2017,ec
27,Gyal You A Party Animal,Charly Black,5601,https://open.spotify.com/track/1mSzZKMIPZIkn3jFV7v62b,1/1/2017,ec
28,Baila Conmigo,Juan Magán,5586,https://open.spotify.com/track/772io14jrMTxGJbijtDccQ,1/1/2017,ec
29,Gyal You A Party Animal - Remix,Charly Black,5541,https://open.spotify.com/track/1AkTW13ysu0AJrwuM6UY0I,1/1/2017,ec
30,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,5362,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,1/1/2017,ec
31,Por Fin Te Encontré,Cali Y El Dandee,5259,https://open.spotify.com/track/3GpvoKKWZyTwgbLEM9RmWM,1/1/2017,ec
32,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,5198,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,1/1/2017,ec
33,Bailame Despacio,Xantos,5160,https://open.spotify.com/track/4OaTpLJIa2harufGxfOPUu,1/1/2017,ec
34,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,5025,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,1/1/2017,ec
35,Hasta el Amanecer,Nicky Jam,5001,https://open.spotify.com/track/5Fim1gaXBgsiFfsQAfQSDS,1/1/2017,ec
36,Cold Water (feat. Justin Bieber & MØ),Major Lazer,4933,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,1/1/2017,ec
37,Bobo,J Balvin,4781,https://open.spotify.com/track/7AtlMCIauSQZqiXSlbBPW6,1/1/2017,ec
38,Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,4644,https://open.spotify.com/track/2SSYqDX8KTgy01NlqtUo0F,1/1/2017,ec
39,In the Name of Love,Martin Garrix,4609,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,1/1/2017,ec
40,Don't Let Me Down,The Chainsmokers,4379,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,1/1/2017,ec
41,Cheap Thrills,Sia,4300,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,1/1/2017,ec
42,Fuego,Juanes,4286,https://open.spotify.com/track/0mwPE0lPOgnWf2bo14xedJ,1/1/2017,ec
43,Tan Fácil,CNCO,4205,https://open.spotify.com/track/1TxgZRcy3kZ7JaEp88MDbC,1/1/2017,ec
44,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,4103,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,1/1/2017,ec
45,Treat You Better,Shawn Mendes,3941,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,1/1/2017,ec
46,Enamorándonos,Cabas,3734,https://open.spotify.com/track/0aywfeIr0tmhLZJxzqOhzP,1/1/2017,ec
47,Te Vas,Ozuna,3721,https://open.spotify.com/track/2twUPIYOTqVivev47pf7bU,1/1/2017,ec
48,No Quiere Enamorarse (Remix) [feat. Daddy Yankee],Ozuna,3467,https://open.spotify.com/track/4vlbjBSMqycZk6t4HVRpnC,1/1/2017,ec
49,Te Quiero Pa´Mi,Don Omar,3467,https://open.spotify.com/track/3BY2mafsbsoKGqS380Xnuz,1/1/2017,ec
50,Heathens,Twenty One Pilots,3376,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,1/1/2017,ec
51,Hasta Que Se Seque el Malecón - Remix,Jacob Forever,3368,https://open.spotify.com/track/6sMPwcpYtxm1mlgYbp1B0t,1/1/2017,ec
52,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Farruko,3356,https://open.spotify.com/track/2FrnTVSHjgnEylKGdHRUK1,1/1/2017,ec
53,Deja Que Te Bese,Alejandro Sanz,3321,https://open.spotify.com/track/0s6yB0ZFl1LvYHAnGhXFga,1/1/2017,ec
54,Side To Side,Ariana Grande,3275,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,1/1/2017,ec
55,Manicomio,Cosculluela,3180,https://open.spotify.com/track/3n58u3LOFw8mITLvfPvQBz,1/1/2017,ec
56,Ruleta Rusa,Kevin Roldan,3085,https://open.spotify.com/track/77KHmKnBmVGTjRCeMVXpWH,1/1/2017,ec
57,I Feel It Coming,The Weeknd,3022,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,1/1/2017,ec
58,Ginza,J Balvin,3005,https://open.spotify.com/track/5N8nNuTmIzkZOfcxXlygUw,1/1/2017,ec
59,Work,Rihanna,2967,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v,1/1/2017,ec
60,Cake By The Ocean,DNCE,2955,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl,1/1/2017,ec
61,Picky,Joey Montana,2922,https://open.spotify.com/track/4tPL9PeVZY4c0jUPtSD5nx,1/1/2017,ec
62,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,2863,https://open.spotify.com/track/0L7loeTIg6akW84aEQZpCT,1/1/2017,ec
